id,created,superceded_id,valid,pt_position_x,pt_position_y,pt_position_z,valid_id,status_dendrite,status_axon,strategy_dendrite,strategy_axon,pt_supervoxel_id,pt_root_id
1673,2024-08-02 22:14:53.867232+00:00,,True,184448,122160,21134,864691135491977959,True,True,dendrite_clean,axon_partially_extended,90150608434311499,864691135491977959
1674,2024-08-02 22:14:53.882027+00:00,,True,185248,106992,22018,864691136195767116,True,True,dendrite_clean,axon_partially_extended,90218915728209651,864691136195767116
1675,2024-08-02 22:14:53.896995+00:00,,True,176992,119792,20171,864691135273851665,True,True,dendrite_clean,axon_partially_extended,89094733540137338,864691135273851665
1676,2024-08-02 22:14:53.912015+00:00,,True,173312,116208,21810,864691137198748993,True,True,dendrite_clean,axon_partially_extended,88601671495966292,864691137198748993
1678,2024-08-02 22:14:53.944905+00:00,,True,178976,124432,21326,864691136991328917,True,True,dendrite_extended,axon_partially_extended,89376827126485917,864691136991328917
1679,2024-08-02 22:14:53.960686+00:00,,True,172224,126656,21141,864691135942611316,True,True,dendrite_extended,axon_partially_extended,88462308329875985,864691135942611316
1680,2024-08-02 22:14:53.976867+00:00,,True,178896,119456,22395,864691135810708172,True,True,dendrite_extended,axon_partially_extended,89376140065988251,864691135810708172
1681,2024-08-02 22:14:53.992677+00:00,,True,178736,126432,21628,864691135801163874,True,True,dendrite_clean,axon_partially_extended,89377102071272275,864691135801163874
1684,2024-08-02 22:14:54.040024+00:00,,True,169008,125872,22242,864691134941385571,True,True,dendrite_clean,axon_partially_extended,88040027279617201,864691134941385571
1685,2024-08-02 22:14:54.053556+00:00,,True,173376,130752,20700,864691135304694183,True,True,dendrite_clean,axon_partially_extended,88603595507012906,864691135304694183
1686,2024-08-02 22:14:54.073262+00:00,,True,188944,119984,21398,864691135801267554,True,True,dendrite_clean,axon_partially_extended,90713214790649100,864691135801267554
1687,2024-08-02 22:14:54.090846+00:00,,True,185200,117744,21532,864691135773033723,True,True,dendrite_clean,axon_partially_extended,90220358770161165,864691135773033723
1688,2024-08-02 22:14:54.106491+00:00,,True,184464,122032,22057,864691135645874159,True,True,dendrite_clean,axon_partially_extended,90150539848910271,864691135645874159
1689,2024-08-02 22:14:54.121819+00:00,,True,179888,116688,20509,864691135586527612,True,True,dendrite_clean,axon_partially_extended,89516533755228311,864691135586527612
1693,2024-08-02 22:14:54.181974+00:00,,True,186384,119648,20631,864691135576839710,True,True,dendrite_clean,axon_partially_extended,90361371002373602,864691135576839710
4066,2025-07-25 23:48:49.744763+00:00,,True,97504,113504,15610,864691136136757387,True,False,dendrite_clean,none,78186752954927476,864691136136757387
