id,created,superceded_id,valid,volume,pt_position_x,pt_position_y,pt_position_z,bb_start_position_x,bb_start_position_y,bb_start_position_z,bb_end_position_x,bb_end_position_y,bb_end_position_z,pt_supervoxel_id,pt_root_id
223650,2020-09-28 22:40:41.943056+00:00,,True,272.17297,150912,141920,16016,,,,,,,85508881987611062,864691135437154546
393873,2020-09-28 22:40:41.944398+00:00,,True,255.98672,229424,157936,16539,,,,,,,96347867681335081,864691135474733632
394075,2020-09-28 22:40:41.945423+00:00,,True,37.5808,238880,158224,17696,,,,,,,97614505210928289,864691135746131713
191621,2020-09-28 22:40:41.946322+00:00,,True,265.23532,146864,157568,15643,,,,,,,84948062271015672,864691135807277597
396067,2020-09-28 22:40:41.947462+00:00,,True,198.67238,245600,162672,16463,,,,,,,98529917226058321,864691135874456206
225415,2020-09-28 22:40:41.948386+00:00,,True,209.01593,155248,145264,17071,,,,,,,86142681855824910,864691135946367012
581629,2020-09-28 22:40:41.949273+00:00,,True,67.1726,342128,107136,27638,,,,,,,111822120862492771,864691135210035392
609673,2020-09-28 22:40:41.950159+00:00,,True,40.681965,347744,110032,27545,,,,,,,112596589365129753,864691135624835555
395720,2020-09-28 22:40:41.951102+00:00,,True,57.295666,242240,175664,15506,,,,,,,98109422613775983,864691135794724637
225542,2020-09-28 22:40:41.952028+00:00,,True,42.73717,154128,158656,17607,,,,,,,85933362396815371,864691135896032917
393791,2020-09-28 22:40:41.952880+00:00,,True,46.226475,235920,158816,16303,,,,,,,97192361264182009,864691133912406186
360000,2020-09-28 22:40:41.953785+00:00,,True,310.1347,228160,123696,25591,,,,,,,96132158385135061,864691135816494671
708138,2020-09-28 22:40:41.954670+00:00,,True,170.20436,378528,208192,16113,,,,,,,0,0
234088,2020-09-28 22:40:41.955546+00:00,,True,206.40039,158496,224960,18757,,,,,,,86575546041295664,864691136723560957
391162,2020-09-28 22:40:41.956425+00:00,,True,373.84848,245536,125248,22464,,,,,,,98524901442858132,864691135786545860
615735,2020-09-28 22:40:41.957345+00:00,,True,314.53955,344880,161104,17084,,,,,,,112181247505371364,864691135183493378
616055,2020-09-28 22:40:41.958208+00:00,,True,39.0511,351776,175520,18658,,,,,,,113097965526343379,864691135535590514
231416,2020-09-28 22:40:41.959326+00:00,,True,51.182796,156672,207984,15191,,,,,,,86291802852078283,864691135446816492
712709,2020-09-28 22:40:41.960200+00:00,,True,271.65768,380336,220048,16388,,,,,,,0,0
617700,2020-09-28 22:40:41.961076+00:00,,True,91.932915,359664,176320,17568,,,,,,,114223934018383992,864691135772014587
616227,2020-09-28 22:40:41.961985+00:00,,True,59.49227,349328,176384,20165,,,,,,,112816628189884665,864691135732257977
358831,2020-09-28 22:40:41.962838+00:00,,True,265.0946,227168,121344,16861,,,,,,,95991076158512969,864691136084469356
390337,2020-09-28 22:40:41.963696+00:00,,True,238.03069,234624,112880,17223,,,,,,,97045507876466170,864691135156852068
235783,2020-09-28 22:40:41.964555+00:00,,True,266.26654,163792,239456,15725,,,,,,,87281225945223248,864691135809509324
617224,2020-09-28 22:40:41.965464+00:00,,True,32.47276,344576,175552,27787,,,,,,,112112804315691036,864691135993897254
390745,2020-09-28 22:40:41.966367+00:00,,True,40.693104,235152,127056,19117,,,,,,,97117732314772281,864691136691274102
617512,2020-09-28 22:40:41.967272+00:00,,True,49.697586,345152,191776,16542,,,,,,,112255739350982008,864691136001171619
617521,2020-09-28 22:40:41.968186+00:00,,True,47.206074,346288,184192,17201,,,,,,,112395446114534363,864691135732257977
615424,2020-09-28 22:40:41.969063+00:00,,True,100.34381,344512,175408,15302,,,,,,,112112802638319109,864691135732257977
235018,2020-09-28 22:40:41.969898+00:00,,True,42.7067,160032,224320,24523,,,,,,,86786584292658461,864691135566810455
613560,2020-09-28 22:40:41.970989+00:00,,True,46.568245,359664,152352,15647,,,,,,,114220772654223870,864691135732257977
613446,2020-09-28 22:40:41.971824+00:00,,True,57.208176,356032,142736,27491,,,,,,,113726887318403757,864691135544382504
714743,2020-09-28 22:40:41.972679+00:00,,True,195.58449,382928,225136,19122,,,,,,,0,0
230822,2020-09-28 22:40:41.973522+00:00,,True,38.74046,163184,186192,23917,,,,,,,87203711449259697,864691135551562692
585239,2020-09-28 22:40:41.974398+00:00,,True,34.10215,342624,157104,17141,,,,,,,111899222772827372,864691134774119087
