cohort,functional_metric,structural_metric,controls,test_role,rho,p_value,n_neurons,rank_variance_approx,q_bh_all_tests
all_906,mean_fcorr_abs,total_strength,distance+area+layer,exploratory,0.005604417745994437,0.8662210353396235,906,3.140949827161736e-05,0.9089281712853003
all_906,mean_fcorr_abs,in_degree,raw,exploratory,-0.11158454949317463,0.0007666806730191304,906,0.012451111685594738,0.005750105047643478
all_906,mean_fcorr_abs,in_degree,distance,exploratory,-0.10142964336931262,0.002237980232262532,906,0.010287972554025944,0.012588638806476744
all_906,mean_fcorr_abs,in_degree,distance+area,exploratory,-0.08727283723194129,0.008581594352073623,906,0.007616548118512918,0.03677826150888695
all_906,mean_fcorr_abs,in_degree,distance+area+cell_type,exploratory,-0.08557220961087968,0.009969618732683911,906,0.007322603057688328,0.039011551562676175
all_906,mean_fcorr_abs,in_degree,distance+area+layer,exploratory,-0.08982703408220105,0.006819813832362195,906,0.00806889605200491,0.032304381311189345
all_906,mean_fcorr_abs,out_degree,raw,exploratory,-0.014034949988670787,0.673107337339155,906,0.00019697982118449013,0.74789704148795
all_906,mean_fcorr_abs,out_degree,distance,exploratory,0.023911567753289446,0.47223744171647547,906,0.0005717630724201517,0.5666849300597706
all_906,mean_fcorr_abs,out_degree,distance+area,exploratory,0.02323585125756872,0.4848495488844457,906,0.000539904783663858,0.5741639394684226
all_906,mean_fcorr_abs,out_degree,distance+area+cell_type,exploratory,0.027131917121557984,0.4146780908199601,906,0.0007361409266910913,0.5043382185648163
all_906,mean_fcorr_abs,out_degree,distance+area+layer,exploratory,0.03033860069512559,0.36169708184223387,906,0.0009204306921382749,0.47049500401109084
all_906,mean_fcorr_abs,in_strength,raw,exploratory,-0.10694888899075354,0.0012643534836369727,906,0.011438064856356523,0.008127986680523395
all_906,mean_fcorr_abs,in_strength,distance,exploratory,-0.09710424818504224,0.0034367878782621732,906,0.009429235015582278,0.017183939391310868
all_906,mean_fcorr_abs,in_strength,distance+area,exploratory,-0.08666267460314464,0.009058396034846754,906,0.0075104191693705314,0.03705707468800944
all_906,mean_fcorr_abs,in_strength,distance+area+cell_type,exploratory,-0.07750002583616816,0.019646724591017146,906,0.0060062540046067325,0.06315018618541225
all_906,mean_fcorr_abs,in_strength,distance+area+layer,exploratory,-0.08196833925922199,0.013587744709754733,906,0.006718808640914914,0.05095404266158025
all_906,mean_fcorr_abs,out_strength,raw,exploratory,-0.0031337598881555,0.9249537319318848,906,9.820451036612372e-06,0.9459754076576096
all_906,mean_fcorr_abs,out_strength,distance,exploratory,0.031415610516084394,0.3448976914954908,906,0.0009869405840983124,0.46771736333204333
all_906,mean_fcorr_abs,out_strength,distance+area,exploratory,0.02969296628554374,0.3720091161873944,906,0.0008816722468344371,0.4715608515051478
all_906,mean_fcorr_abs,out_strength,distance+area+cell_type,exploratory,0.04325754860819539,0.1933076122148915,906,0.0018712155115903869,0.3163215472607316
all_906,mean_fcorr_abs,out_strength,distance+area+layer,exploratory,0.04480831212328168,0.17780715247413686,906,0.002007784835337432,0.29634525412356144
