id_ref,created_ref,valid_ref,volume,pt_position_x,pt_position_y,pt_position_z,bb_start_position_x,bb_start_position_y,bb_start_position_z,bb_end_position_x,bb_end_position_y,bb_end_position_z,pt_supervoxel_id,pt_root_id,id,created,valid,target_id,classification_system,cell_type
498339,2020-09-28 22:45:08.096888+00:00,True,324.91766,287264,218880,15859,,,,,,,104237344513127081,864691135974798703,113,2024-02-01 19:24:57.111025+00:00,True,498339,inhibitory_neuron,MC
669051,2020-09-28 22:44:18.958690+00:00,True,239.87912,363696,201840,21625,,,,,,,114790320482432940,864691135873824142,114,2024-02-01 19:24:57.111536+00:00,True,669051,excitatory_neuron,6P-IT
304446,2020-09-28 22:44:06.435166+00:00,True,216.96086,183488,222672,18455,,,,,,,90023339627712413,864691135662430960,115,2024-02-01 19:24:57.112018+00:00,True,304446,inhibitory_neuron,BC
403099,2020-09-28 22:44:53.477032+00:00,True,293.54477,231216,211456,17646,,,,,,,96566120873776399,864691134918396682,116,2024-02-01 19:24:57.112522+00:00,True,403099,excitatory_neuron,6P-IT
531469,2020-09-28 22:44:36.135333+00:00,True,266.03323,306192,197088,25963,,,,,,,106838034452280122,864691136662198238,117,2024-02-01 19:24:57.113024+00:00,True,531469,excitatory_neuron,6P-IT
272600,2020-09-28 22:44:47.749317+00:00,True,283.6534,176432,255040,15302,,,,,,,89042506066851985,864691135940063910,118,2024-02-01 19:24:57.113534+00:00,True,272600,excitatory_neuron,6P-IT
764486,2020-09-28 22:41:05.225306+00:00,True,267.59055,395008,216832,25456,,,,,,,119084875931637832,864691136123746854,119,2024-02-01 19:24:57.114044+00:00,True,764486,excitatory_neuron,6P-IT
87862,2020-09-28 22:44:38.543167+00:00,True,270.08417,89216,244288,21447,,,,,,,77078377253067841,864691135105354829,120,2024-02-01 19:24:57.114590+00:00,True,87862,excitatory_neuron,6P-CT
406678,2020-09-28 22:43:02.164885+00:00,True,286.7105,234128,251776,15559,,,,,,,96993761908972028,864691135610492167,121,2024-02-01 19:24:57.115066+00:00,True,406678,excitatory_neuron,6P-IT
533689,2020-09-28 22:45:12.021522+00:00,True,337.86084,305712,235024,16113,,,,,,,106843118418345895,864691135162226989,122,2024-02-01 19:24:57.115556+00:00,True,533689,inhibitory_neuron,MC
767211,2020-09-28 22:44:41.658674+00:00,True,273.87018,400432,227424,26737,,,,,,,119860306708152149,864691135864976382,123,2024-02-01 19:24:57.116048+00:00,True,767211,excitatory_neuron,6P-CT
406856,2020-09-28 22:44:57.614440+00:00,True,301.5015,234160,244736,15807,,,,,,,96992799836493979,864691136020238840,124,2024-02-01 19:24:57.116563+00:00,True,406856,excitatory_neuron,6P-IT
536119,2020-09-28 22:44:30.760555+00:00,True,258.5472,296912,253808,19924,,,,,,,105579024113727031,864691136227896145,125,2024-02-01 19:24:57.117041+00:00,True,536119,excitatory_neuron,6P-IT
270055,2020-09-28 22:45:01.630997+00:00,True,310.66504,168816,218000,26685,,,,,,,87982028645048310,864691136522529937,126,2024-02-01 19:24:57.117538+00:00,True,270055,excitatory_neuron,6P-CT
438066,2020-09-28 22:43:24.325977+00:00,True,267.49747,260784,250944,19910,,,,,,,100652799704366500,864691136973707804,127,2024-02-01 19:24:57.118030+00:00,True,438066,excitatory_neuron,6P-IT
438107,2020-09-28 22:44:40.349694+00:00,True,272.6776,251216,254704,20423,,,,,,,99316343387891519,864691135345233055,128,2024-02-01 19:24:57.118600+00:00,True,438107,inhibitory_neuron,MC
170843,2020-09-28 22:42:09.879851+00:00,True,227.1214,130560,253520,15230,,,,,,,82709112932435639,864691135489456698,129,2024-02-01 19:24:57.119249+00:00,True,170843,nonneuron,oligo
83565,2020-09-28 22:42:52.426471+00:00,True,268.46887,88640,226128,16321,,,,,,,77005602656112748,864691135511717328,130,2024-02-01 19:24:57.119760+00:00,True,83565,excitatory_neuron,6P-CT
240054,2020-09-28 22:44:53.233985+00:00,True,292.64822,149776,263296,17356,,,,,,,85384431149698236,864691136089437751,131,2024-02-01 19:24:57.120262+00:00,True,240054,excitatory_neuron,6P-IT
133507,2020-09-28 22:44:09.802328+00:00,True,223.4468,106592,245728,22010,,,,,,,79471120780729373,864691135234211673,132,2024-02-01 19:24:57.120745+00:00,True,133507,excitatory_neuron,6P-IT
308374,2020-09-28 22:40:46.757452+00:00,True,291.78445,181136,257456,18315,,,,,,,89676168764604057,864691136419304855,133,2024-02-01 19:24:57.121247+00:00,True,308374,excitatory_neuron,6P-IT
306351,2020-09-28 22:44:26.664783+00:00,True,252.2425,181312,228464,18268,,,,,,,89742620498508067,864691136827511918,134,2024-02-01 19:24:57.121845+00:00,True,306351,excitatory_neuron,6P-CT
