pre_neuron_id,post_neuron_id,synapse_size
864691135954393891,864691135386963541,14612.0
864691135954393891,864691135576881950,14096.0
864691135954393891,864691135592830731,3504.0
864691135954393891,864691135717457946,268.0
864691135954393891,864691135810466333,16828.0
864691135954393891,864691135857993774,14904.0
864691135954393891,864691135868466710,20432.0
864691135954393891,864691135977309763,4392.0
864691135954393891,864691136380757461,9160.0
864691135954393891,864691136453419007,22768.0
864691135954393891,864691136675427975,3228.0
864691136120663064,864691135209369465,1676.0
864691135294520844,864691134919869706,13008.0
864691135294520844,864691135360482392,2084.0
864691135294520844,864691135455507818,6324.0
864691135294520844,864691135585266808,35696.0
864691135294520844,864691135640398651,5512.0
864691135294520844,864691135750958889,2020.0
864691135294520844,864691135774053371,6148.0
864691135294520844,864691135885911920,2456.0
864691135294520844,864691136011684526,4040.0
864691135294520844,864691136034011579,180.0
864691135294520844,864691136228491601,3768.0
864691135294520844,864691136424439855,9828.0
864691135294520844,864691135258642863,3360.0
864691135294520844,864691135618505065,4140.0
864691135294520844,864691136101340021,25436.0
864691135398805281,864691135466158917,40512.0
864691135398805281,864691135562975969,15588.0
864691135398805281,864691135573276197,20704.0
864691135398805281,864691135583223405,11012.0
864691135398805281,864691136091634487,10140.0
864691135398805281,864691136111559352,10104.0
864691135398805281,864691136330101226,37152.0
864691135398805281,864691136373008520,1104.0
864691135398805281,864691136437631902,53384.0
864691135398805281,864691136484732972,2812.0
864691135398805281,864691136674749575,1496.0
864691135398805281,864691135258642863,10588.0
864691135398805281,864691135503182685,5472.0
864691135398805281,864691135655390658,4880.0
864691135398805281,864691135739587697,22276.0
864691135398805281,864691135865648254,564.0
864691135398805281,864691135866576604,3852.0
864691135398805281,864691136041575422,1396.0
864691135398805281,864691136144674612,5640.0
