pre_pt_root_id,post_pt_root_id,synapse_count,synapse_size_sum
864691135257404079,864691136741503324,1,236.0
864691135257459887,864691136725041917,1,10756.0
864691135257459887,864691136924049892,1,14648.0
864691135257507247,864691135782615632,1,24464.0
864691135270451109,864691136239108156,1,204.0
864691135270576037,864691135464476741,1,21612.0
864691135270576037,864691135502644317,1,1312.0
864691135272206865,864691135059450779,1,4056.0
864691135272206865,864691135134695328,1,28400.0
864691135272206865,864691135386077269,1,21840.0
864691135272206865,864691135455053162,1,16448.0
864691135272206865,864691135498332947,1,1388.0
864691135272206865,864691135517475539,1,1644.0
864691135272206865,864691135568826604,1,14172.0
864691135272206865,864691135658414210,2,46644.0
864691135272206865,864691135867616534,1,7852.0
864691135272206865,864691135926721806,1,24084.0
864691135272206865,864691136391508095,1,1008.0
864691135272206865,864691136423247407,1,21352.0
864691135272843537,864691135737334404,1,1600.0
864691135273258257,864691135119053789,1,11176.0
864691135273258257,864691135375498952,1,712.0
864691135273258257,864691135538399602,1,11004.0
864691135273258257,864691135570156934,1,2000.0
864691135273258257,864691135859910760,1,16236.0
864691135273258257,864691136287554499,6,61104.0
864691135274940901,864691135491895399,1,3844.0
864691135274940901,864691135688186080,1,2728.0
864691135274940901,864691135917380710,1,3968.0
864691135274965477,864691135837783187,1,10012.0
864691135275197669,864691135816436047,1,24312.0
864691135275197669,864691136008919214,1,32000.0
864691135275197669,864691136741438556,1,776.0
864691135275348453,864691135741910164,2,58104.0
864691135275348453,864691135839929235,1,3592.0
864691135275348453,864691135915943014,1,2720.0
864691135275348453,864691136991202453,1,22860.0
864691135275664613,864691135015004662,1,2236.0
864691135275664613,864691135852060871,1,2452.0
864691135275664613,864691136991202453,1,3868.0
864691135277396709,864691135270451109,1,6264.0
864691135277396709,864691135292824758,1,4424.0
864691135277396709,864691135383426010,1,4788.0
864691135277396709,864691135456466026,1,9828.0
864691135277396709,864691135517951114,1,4676.0
864691135277396709,864691135585095032,1,6288.0
864691135277396709,864691135741421931,1,21116.0
864691135277396709,864691135855767342,1,1536.0
864691135277396709,864691135970062693,1,628.0
864691135277396709,864691136619099867,1,464.0
864691135277506533,864691135688186080,1,1960.0
864691135277506533,864691135700498722,1,2524.0
864691135277506533,864691135808286237,1,28056.0
864691135277506533,864691135861059176,1,1976.0
864691135277506533,864691135940146598,2,15140.0
864691135277506533,864691136194985036,1,20600.0
864691135277506533,864691136391096191,1,2100.0
864691135278563489,864691135568563180,1,820.0
864691135278563489,864691135889558153,1,3492.0
864691135278563489,864691136419115159,1,8508.0
864691135279338913,864691135280864417,1,6260.0
864691135279338913,864691135817862735,1,5492.0
864691135279338913,864691136310693466,1,41628.0
864691135279603617,864691135447857298,1,8036.0
864691135279603617,864691135463993669,1,6296.0
