pre_pt_root_id,post_pt_root_id,size
864691134949081852,864691136312057178,10456.0
864691134949081852,864691136312445786,3724.0
864691134949081852,864691136314485053,3064.0
864691134949081852,864691136390905207,18364.0
864691134949081852,864691136453384959,8048.0
864691134949095932,864691135919749808,10296.0
864691134949221372,864691135084038647,7076.0
864691134949221372,864691135119636189,10396.0
864691134949221372,864691135196475434,3424.0
864691134949221372,864691135342823877,260.0
864691134949221372,864691135362104647,42088.0
864691134949221372,864691135387529301,1064.0
864691134949221372,864691135409856713,7372.0
864691134949221372,864691135456207722,5776.0
864691134949221372,864691135566979927,15856.0
864691134949221372,864691135584019053,5884.0
864691134949221372,864691135592837899,4720.0
864691134949221372,864691135810803660,2620.0
864691134949221372,864691135869457430,1432.0
864691134949221372,864691136021592568,9252.0
864691134949221372,864691136298913563,12232.0
864691134949221372,864691136299026971,1736.0
864691134949221372,864691136311213914,13396.0
864691134949248508,864691134966621471,5688.0
864691134949248508,864691135084038647,6396.0
864691134949248508,864691135102390816,4760.0
864691134949248508,864691135119636189,3828.0
864691134949248508,864691135134016928,13500.0
864691134949248508,864691135162585389,3300.0
864691134949248508,864691135196475434,3956.0
864691134949248508,864691135210134905,1368.0
864691134949248508,864691135274355473,4768.0
864691134949248508,864691135274830353,3548.0
864691134949248508,864691135309722950,2848.0
864691134949248508,864691135409856969,15528.0
864691134949248508,864691135562001633,384.0
864691134949248508,864691135592837899,428.0
864691134949248508,864691135595810859,7108.0
864691134949248508,864691135694189759,6512.0
864691134949248508,864691135702887291,3292.0
864691134949248508,864691135742826603,7300.0
864691134949248508,864691135810495005,4184.0
864691134949248508,864691135839577235,21320.0
864691134949248508,864691135855890478,11532.0
864691134949248508,864691135869457430,1772.0
864691134949248508,864691135885911920,2472.0
864691134949248508,864691135886132080,232.0
864691134949248508,864691135977134403,1172.0
864691134949248508,864691136239859772,3928.0
864691134949248508,864691136390905207,25648.0
864691134949248508,864691136436788382,11244.0
864691134949248508,864691136620192653,14880.0
864691134949248508,864691136927187786,15680.0
864691134949248508,864691137199828801,15156.0
864691134949263100,864691135196475434,15896.0
864691134949263100,864691135279848865,16756.0
864691134949263100,864691135389004929,15312.0
864691134949263100,864691135417307322,1560.0
864691134949263100,864691135466236229,7892.0
864691134949263100,864691135476528704,5480.0
864691134949263100,864691135478434216,6112.0
864691134949263100,864691135495529360,10204.0
864691134949263100,864691135569363948,12344.0
864691134949263100,864691135700757026,812.0
864691134949263100,864691135763975990,2284.0
864691134949263100,864691135778116013,27408.0
864691134949263100,864691135858282030,2752.0
864691134949263100,864691135869457430,6972.0
864691134949263100,864691136011485614,5764.0
864691134949263100,864691136011733934,384.0
864691134949263100,864691136118878116,23324.0
864691134949263100,864691136195652328,6736.0
864691134949263100,864691136228250961,3444.0
864691134949263100,864691136312445786,8824.0
864691134949263100,864691136390905207,2588.0
864691134949263100,864691136436788382,9880.0
864691134949263100,864691136620192653,8308.0
864691134949263100,864691136725353725,2352.0
864691134949263100,864691136914541041,1228.0
864691134949350652,864691134966621471,3340.0
864691134949350652,864691135210134905,2280.0
864691134949350652,864691135274860561,4844.0
864691134949350652,864691135387529301,8788.0
864691134949350652,864691135398746401,34652.0
864691134949350652,864691135466236229,32220.0
864691134949350652,864691135562001633,484.0
864691134949350652,864691135583223405,16820.0
864691134949350652,864691135584019053,6100.0
864691134949350652,864691135779780797,27160.0
864691134949350652,864691135886132080,4192.0
864691134949350652,864691136011485614,11456.0
864691134949350652,864691136034011579,11940.0
864691134949350652,864691136118878116,12572.0
864691134949350652,864691136268801268,11148.0
864691134949350652,864691136312057178,3964.0
864691134949350652,864691136314120765,1888.0
864691134949350652,864691136390905207,9344.0
864691134949350652,864691136523889553,7020.0
864691134949350652,864691136968773070,12980.0
864691134950156796,864691134941063523,16780.0
864691134950156796,864691135060772763,11024.0
864691134950156796,864691135210134905,2224.0
864691134950156796,864691135336847849,2196.0
864691134950156796,864691135387529301,5272.0
864691134950156796,864691135398746401,7028.0
864691134950156796,864691135409760457,7928.0
864691134950156796,864691135448017554,4152.0
864691134950156796,864691135517376211,8668.0
864691134950156796,864691135562975969,488.0
864691134950156796,864691135584019053,824.0
864691134950156796,864691135594721579,52464.0
864691134950156796,864691135703164283,10324.0
864691134950156796,864691135779629245,3412.0
864691134950156796,864691135875763086,852.0
864691134950156796,864691135942611316,4692.0
864691134950156796,864691136102330485,880.0
864691134950156796,864691136268801268,10696.0
864691134950156796,864691136298913563,3208.0
864691134950156796,864691136311213914,8044.0
864691134950156796,864691136381324501,2656.0
864691134950156796,864691136389679223,340.0
864691134950156796,864691136436788382,4164.0
864691134965778719,864691135756075981,8440.0
864691134965778719,864691135778116013,4876.0
864691134965778719,864691135868957462,456.0
864691134965778719,864691136390099728,8000.0
864691134966025503,864691134966025503,4448.0
864691134966025503,864691135084038647,12664.0
864691134966025503,864691135274830353,14180.0
864691134966025503,864691135387529301,15960.0
864691134966025503,864691135490483514,568.0
864691134966025503,864691135572346349,9228.0
864691134966025503,864691135592837899,5636.0
864691134966025503,864691135763433270,748.0
864691134966025503,864691135764631862,1816.0
864691134966025503,864691135942163201,15688.0
864691134966025503,864691136118878116,16908.0
864691134966025503,864691136311213914,7236.0
864691134966025503,864691136312057178,8872.0
864691134966025503,864691136619693275,7596.0
864691134966025503,864691136619939213,4436.0
864691134966069023,864691134919529994,3912.0
864691134966069023,864691135124690471,376.0
864691134966069023,864691135387529301,3140.0
864691134966069023,864691135388368001,13476.0
864691134966069023,864691135546161704,3696.0
864691134966069023,864691135592837899,3140.0
864691134966069023,864691135858282030,16476.0
864691134966069023,864691136013554851,2568.0
864691134966069023,864691136239859772,7204.0
864691134966069023,864691136314491965,720.0
864691134966114591,864691134966114591,10408.0
864691134966114591,864691134966495519,18872.0
864691134966114591,864691134990847098,11760.0
864691134966114591,864691135196475434,13896.0
864691134966114591,864691135465955397,1092.0
864691134966114591,864691135592837899,3224.0
864691134966114591,864691135861182824,2288.0
864691134966114591,864691136011485614,12820.0
864691134966114591,864691136025992761,5084.0
864691134966114591,864691136086206316,204.0
864691134966114591,864691136118878116,13824.0
864691134966114591,864691136914541041,1220.0
864691134966324767,864691134941063523,3320.0
864691134966324767,864691134966324767,5856.0
864691134966324767,864691135387529301,10188.0
864691134966324767,864691135398925345,2556.0
864691134966324767,864691135493149927,11376.0
864691134966324767,864691135562001633,6836.0
864691134966324767,864691135584019053,2628.0
864691134966324767,864691135731679929,2484.0
864691134966324767,864691135742609771,220.0
864691134966324767,864691135779780797,5784.0
864691134966324767,864691135782241616,3400.0
